sku,code,gtin,name,brand,color,model,price,sizes,errors,images,season,made_in,category,feed_name,department,product_id,season_year,color_original,made_in_original,category_original,materials_original,department_original,unit_system_name_original,year,collection,dimensions,collection_original,title,sizes_raw,season_raw,description,size_system,category_item,season_display,sizes_original,vendor_product_id,lens_all_matches,lens_brand_matches,_missing_fields,_has_images,_image_count
02.618011.123AzurStripes,02.618011.123AzurStripes,[],Alexa midi skirt,BABE & TESS,light blue,2.618011,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""empty_field"",""field"":""gtin""},{""error"":""missing_field"",""field"":""dimensions""}]",[],SS26,ITALY,SKIRT,breficom,girl,,,,,,90% COTTON 10% POLYESTER,GIRL CLOTHING,,2026,,,,,,,Alexa midi skirt,,,,,,,,5,false,0
24182615.Kobalt blue,24182615.Kobalt blue,"[""8719066017274""]",Miffy ECO Corduroy - 23 cm - 9,BON TON TOYS,blue,24182615,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],,,PELUCHE,breficom,unisex,,,,,,100% RECYCLED POLYESTER,UNISEX ACCESSORIES,,2025,,,,,,,Miffy ECO Corduroy - 23 cm - 9,,,,,,,,6,false,0
24182607.Yellow,24182607.Yellow,"[""8719066017199""]",Miffy ECO Corduroy - 23 cm - 9,BON TON TOYS,yellow,24182607,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],,,PELUCHE,breficom,unisex,,,,,,100% RECYCLED POLYESTER,UNISEX ACCESSORIES,,2025,,,,,,,Miffy ECO Corduroy - 23 cm - 9,,,,,,,,6,false,0
24182606.Yellow,24182606.Yellow,"[""8719066017182""]",Miffy ECO Corduroy - 33 cm - 13,BON TON TOYS,yellow,24182606,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],,,PELUCHE,breficom,unisex,,,,,,100% RECYCLED POLYESTER,UNISEX ACCESSORIES,,2025,,,,,,,Miffy ECO Corduroy - 33 cm - 13,,,,,,,,6,false,0
24182576.Cream,24182576.Cream,"[""8719066013306""]",Miffy Terry - 50 cm - 20,BON TON TOYS,beige,24182576,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],,,PELUCHE,breficom,unisex,,,,,,100% RECYCLED POLYESTER,UNISEX ACCESSORIES,,2025,,,,,,,Miffy Terry - 50 cm - 20,,,,,,,,6,false,0
24182441.Light Grey,24182441.Light Grey,"[""8719066010596""]",Miffy Terry - 33 cm - 13,BON TON TOYS,grey,24182441,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],,,PELUCHE,breficom,unisex,,,,,,100% RECYCLED POLYESTER,UNISEX ACCESSORIES,,2025,,,,,,,Miffy Terry - 33 cm - 13,,,,,,,,6,false,0
24182220.Green,24182220.Green,"[""8719066004502""]",Miffy ECO Corduroy - 23 cm - 9,BON TON TOYS,green,24182220,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],,,PELUCHE,breficom,unisex,,,,,,100% RECYCLED POLYESTER,UNISEX ACCESSORIES,,2025,,,,,,,Miffy ECO Corduroy - 23 cm - 9,,,,,,,,6,false,0
24182610.Aviator blue,24182610.Aviator blue,"[""8719066017229""]",Miffy ECO Corduroy - 23 cm - 9,BON TON TOYS,blue,24182610,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""},{""error"":""missing_field"",""field"":""made_in""}]",[],,,PELUCHE,breficom,unisex,,,,,,100% RECYCLED POLYESTER,UNISEX ACCESSORIES,,2025,,,,,,,Miffy ECO Corduroy - 23 cm - 9,,,,,,,,6,false,0
J31398G-JADE19.00000,J31398G-JADE19.00000,"[""8059770606075"",""8059770606273"",""8059770606471""]",BIBI hooded jacket,SAVE THE DUCK,white,J31398G-JADE19,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],,CHINA,SHORT PUFFER,breficom,girl,,,,,,100% NYLON LINING 100% NYLON PADDING 100% POLYESTER,GIRL CLOTHING,,2024,,,,,,,BIBI hooded jacket,,,,,,,,5,false,0
J82430X-GIGA19.80007,J82430X-GIGA19.80007,"[""8059770675095"",""8059770675347"",""8059770675590"",""8059770673596"",""8059770673848""]",ANDY VEST,SAVE THE DUCK,pink,J82430X-GIGA19,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],,CHINA,SLEEVELESS PUFFER,breficom,boy,,,,,,100% NYLON LINING 100% NYLON PADDING 100% POLYESTER,BOY CLOTHING,,2024,,,,,,,ANDY VEST,,,,,,,,5,false,0
J31653B-LOVE19.90058,J31653B-LOVE19.90058,"[""8059770614506"",""8059770614681"",""8059770614865"",""8059770613424"",""8059770613608"",""8059770613783""]",NILES HOODED JACKET,SAVE THE DUCK,blue,J31653B-LOVE19,0,[],"[{""error"":""empty_field"",""field"":""images""},{""error"":""empty_field"",""field"":""season""},{""error"":""missing_field"",""field"":""collection""},{""error"":""empty_field"",""field"":""additional_info""},{""error"":""missing_field"",""field"":""dimensions""}]",[],,CHINA,SHORT PUFFER,breficom,boy,,,,,,100% NYLON LINING 100% NYLON PADDING 100% POLYESTER,BOY CLOTHING,,2024,,,,,,,NILES HOODED JACKET,,,,,,,,5,false,0
